City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,stanley,54.868,-1.6985,10.16,95,100,2.06,GB,1698262710
1,vallenar,-28.5708,-70.7581,28.59,20,0,5.18,CL,1698262842
2,ushuaia,-54.8,-68.3,9.81,57,75,8.75,AR,1698262513
3,icano,-28.9193,-65.3282,18.53,71,98,4.42,AR,1698262977
4,hithadhoo,-0.6,73.0833,27.79,78,41,7.08,MV,1698262856
5,howrah,22.5892,88.3103,26.0,89,20,1.54,IN,1698262774
6,coxen hole,16.3244,-86.5366,26.6,89,75,2.57,HN,1698262978
7,edinburgh of the seven seas,-37.0676,-12.3116,10.16,53,10,6.62,SH,1698262723
8,port alfred,-33.5906,26.891,16.77,87,13,0.89,ZA,1698262804
9,tazacorte,28.629,-17.9293,23.54,86,75,3.6,ES,1698262742
10,usinsk,65.9939,57.5281,-9.96,95,99,4.47,RU,1698262602
11,tamanrasset,22.785,5.5228,22.95,14,0,1.03,DZ,1698262980
12,yellowknife,62.456,-114.3525,-3.1,82,75,5.66,CA,1698262740
13,avarua,-21.2078,-159.775,22.03,56,75,3.09,CK,1698262752
14,marysville,48.0518,-122.1771,10.61,93,100,3.09,US,1698262981
15,takoradi,4.8845,-1.7554,25.6,86,99,3.82,GH,1698262981
16,bethel,41.3712,-73.414,24.05,51,0,4.12,US,1698262512
17,price,39.5994,-110.8107,17.84,27,0,3.6,US,1698262982
18,hilo,19.7297,-155.09,31.27,76,40,2.57,US,1698262733
19,tughyl,47.7252,84.2063,8.85,57,81,5.9,KZ,1698262983
20,tranas,58.0372,14.9782,0.77,96,100,4.87,SE,1698262983
21,alum rock,37.3661,-121.8272,20.98,55,40,4.02,US,1698262983
22,port-aux-francais,-49.35,70.2167,4.71,85,100,3.97,TF,1698262711
23,san antonio de pale,-1.4014,5.6325,26.06,82,93,4.99,GQ,1698262846
24,waitangi,-43.9535,-176.5597,13.23,95,9,1.79,NZ,1698262716
25,kailua-kona,19.6406,-155.9956,30.33,68,20,4.12,US,1698262937
26,puerto natales,-51.7236,-72.4875,6.25,87,100,9.77,CL,1698262745
27,cockburn town,21.4612,-71.1419,28.98,54,40,9.26,TC,1698262850
28,iqaluit,63.7506,-68.5145,-6.15,67,75,1.54,CA,1698262715
29,ribeira grande,38.5167,-28.7,20.22,94,75,8.23,PT,1698262724
30,hamilton,39.1834,-84.5333,23.73,58,75,3.09,US,1698262888
31,ancud,-41.8697,-73.8203,12.69,73,74,4.94,CL,1698262840
32,port mathurin,-19.6833,63.4167,24.69,80,11,8.49,MU,1698262751
33,kodiak,57.79,-152.4072,2.73,87,0,0.0,US,1698262801
34,vientiane,17.9667,102.6,22.81,95,100,1.06,LA,1698262810
35,papatowai,-46.5619,169.4708,12.56,86,95,4.83,NZ,1698262730
36,nar'yan-mar,67.6713,53.087,-0.5,96,100,6.71,RU,1698262829
37,adamstown,-25.066,-130.1015,22.67,82,50,7.16,PN,1698262706
38,mandalgovi,45.7625,106.2708,3.83,32,5,4.04,MN,1698262990
39,mugia,43.1041,-9.2179,19.95,92,100,9.08,ES,1698262990
40,la passe,45.5549,-0.8967,17.21,90,100,10.53,FR,1698262580
41,capayan,-28.761,-66.0502,23.78,57,98,4.17,AR,1698262990
42,queenstown,-31.8976,26.8753,13.77,73,7,2.03,ZA,1698262990
43,touros,-5.1989,-35.4608,25.81,71,30,5.44,BR,1698262991
44,talnakh,69.4865,88.3972,-6.55,95,100,0.99,RU,1698262740
45,rioja,-29.4111,-66.8507,20.16,72,89,2.05,AR,1698262991
46,nemuro,43.3236,145.575,11.88,76,5,0.15,JP,1698262837
47,grytviken,-54.2811,-36.5092,2.49,68,56,6.07,GS,1698262719
48,maumere,-8.6199,122.2111,25.84,69,44,1.41,ID,1698262992
49,pedro juan caballero,-22.5472,-55.7333,26.98,74,20,5.14,PY,1698262993
50,maxixe,-23.8597,35.3472,20.82,72,0,4.07,MZ,1698262993
51,abatskoye,56.2875,70.4555,-1.72,96,100,7.19,RU,1698262993
52,port saint john's,-31.6229,29.5448,17.93,82,21,3.37,ZA,1698262771
53,padang,-0.9492,100.3543,24.39,89,100,1.67,ID,1698262994
54,albany,42.6001,-73.9662,22.36,51,95,1.76,US,1698262709
55,salmon arm,50.6998,-119.3024,5.73,49,36,1.58,CA,1698262995
56,thompson,55.7435,-97.8558,-0.91,55,75,3.6,CA,1698262706
57,mil'kovo,55.6078,37.7956,-0.53,72,68,2.48,RU,1698262995
58,tralee,52.2704,-9.7026,10.92,94,85,2.21,IE,1698262910
59,constantia,44.1833,28.65,21.38,58,60,4.41,RO,1698262546
60,colonia,50.9333,6.95,12.13,90,100,4.63,DE,1698262643
61,hasaki,35.7333,140.8333,11.22,72,6,6.33,JP,1698262922
62,rongelap,11.1635,166.8941,28.06,77,83,6.24,MH,1698262998
63,kristiansund,63.1115,7.732,7.36,61,32,2.57,NO,1698262639
64,longyearbyen,78.2186,15.6401,-6.09,86,20,3.6,SJ,1698262712
65,arak,34.0917,49.6892,11.72,62,59,2.49,IR,1698262955
66,selfoss,63.9331,-20.9971,6.69,82,15,4.14,IS,1698262745
67,daru,-9.0763,143.2092,23.05,81,68,3.2,PG,1698262999
68,tazovsky,67.4667,78.7,-9.72,95,76,2.57,RU,1698263000
69,yemva,62.59,50.8594,-2.17,82,100,4.19,RU,1698263000
70,broome,42.2506,-75.833,23.44,51,0,3.6,US,1698263000
71,west island,-12.1568,96.8225,25.99,89,75,7.2,CC,1698262707
72,ha'il,27.5219,41.6907,20.01,68,0,1.03,SA,1698262953
73,biltine,14.5333,20.9167,29.36,16,0,3.87,TD,1698263001
74,severo-yeniseyskiy,60.3725,93.0408,-1.35,94,100,2.24,RU,1698263001
75,udachny,66.4167,112.4,-16.06,96,25,3.26,RU,1698262616
76,jamestown,42.097,-79.2353,23.34,30,0,4.12,US,1698262573
77,beloretsk,53.9631,58.3981,-6.93,94,46,1.34,RU,1698263002
78,college,64.8569,-147.8028,-2.28,85,40,2.06,US,1698262857
79,ta`u,-14.2336,-169.5144,25.84,74,97,8.64,AS,1698262769
80,roccella ionica,38.322,16.4009,20.41,82,24,4.57,IT,1698263004
81,anadyr,64.75,177.4833,4.28,93,100,12.0,RU,1698262749
82,mount isa,-20.7333,139.5,20.87,23,0,7.72,AU,1698262833
83,utrik,11.2278,169.8474,27.27,72,59,4.45,MH,1698262722
84,barcelos,41.5388,-8.6151,20.08,96,100,4.65,PT,1698262768
85,manadhoo,5.7667,73.3833,27.66,77,85,3.09,MV,1698263006
86,waingapu,-9.6567,120.2641,25.45,72,14,0.36,ID,1698263006
87,kununurra,-15.7667,128.7333,24.99,83,40,2.06,AU,1698262860
88,kingston,17.997,-76.7936,29.0,89,75,1.03,JM,1698262773
89,iskateley,67.6803,53.1512,-0.55,96,100,6.71,RU,1698262736
90,tsiombe,-25.3,45.4833,22.31,81,88,2.78,MG,1698262886
91,barra velha,-26.6322,-48.6847,22.94,79,99,2.13,BR,1698263008
92,villamontes,-21.25,-63.5,24.69,69,100,2.57,BO,1698263008
93,hadibu,12.65,54.0333,26.76,79,83,5.22,YE,1698262914
94,babolsar,36.7025,52.6576,19.18,80,15,0.94,IR,1698263009
95,ulaangom,49.9811,92.0667,1.84,52,100,0.95,MN,1698263010
96,enewetak,11.3474,162.3373,27.0,85,100,4.47,MH,1698262723
97,isafjordur,66.0755,-23.124,2.84,87,98,2.87,IS,1698262505
98,mount gambier,-37.8333,140.7667,7.79,78,39,3.23,AU,1698262741
99,rudnichnyy,59.617,52.4703,-4.49,82,12,3.63,RU,1698263012
100,dibba al-hisn,25.6196,56.2729,25.1,63,70,1.64,AE,1698263012
101,sikasso,10.9167,-7.0,28.88,47,42,2.08,ML,1698263013
102,afaahiti,-17.75,-149.2833,26.93,81,100,3.13,PF,1698262847
103,happy valley-goose bay,53.3168,-60.3315,10.17,53,75,5.66,CA,1698262542
104,yuzhno-kurilsk,44.0306,145.8556,12.99,87,1,1.55,RU,1698262873
105,minas de marcona,-15.2119,-75.1103,19.01,64,63,5.21,PE,1698262761
106,aasiaat,68.7098,-52.8699,-12.35,86,91,4.0,GL,1698262711
107,bilibino,68.0546,166.4372,-15.3,98,95,1.48,RU,1698262653
108,fortuna,40.5982,-124.1573,14.25,87,40,1.54,US,1698263016
109,porto novo,6.4965,2.6036,27.9,87,100,2.48,BJ,1698263016
110,tabou,4.423,-7.3528,25.38,86,100,2.12,CI,1698263016
111,roschinskiy,53.2669,40.0039,-1.09,66,100,3.7,RU,1698263017
112,saldanha,-33.0117,17.9442,15.03,86,100,5.31,ZA,1698263017
113,invercargill,-46.4,168.35,12.23,94,73,4.02,NZ,1698262734
114,ebon,4.582,168.6964,28.62,77,30,5.85,MH,1698263017
115,st. john's,47.5649,-52.7093,11.66,78,100,10.8,CA,1698263018
116,rio grande,-32.035,-52.0986,22.06,73,33,7.62,BR,1698262815
117,runing,33.0011,114.3542,18.12,67,12,2.04,CN,1698263019
118,orsova,44.7253,22.3961,16.55,64,100,0.91,RO,1698263020
119,olonkinbyen,70.9221,-8.7187,0.76,82,100,5.53,SJ,1698262738
120,tiksi,71.6872,128.8694,-16.28,94,91,1.85,RU,1698262714
121,bosobolo,4.1833,19.9,22.76,95,99,0.63,CD,1698263020
122,labasa,-16.4167,179.3833,26.24,62,84,5.48,FJ,1698263021
123,papao,-17.75,-149.55,27.82,77,100,0.69,PF,1698262862
124,port elizabeth,-33.918,25.5701,17.4,86,0,6.17,ZA,1698262561
125,whitehorse,60.7161,-135.0538,-1.61,63,75,4.12,CA,1698262759
126,talitsa,56.8804,60.0213,-5.7,97,44,3.16,RU,1698263022
127,obo,5.3998,26.4869,20.81,93,100,1.7,CF,1698263023
128,gadzhiyevo,69.2551,33.3362,-5.14,94,80,3.59,RU,1698263023
129,madang,-5.2246,145.7966,24.62,91,100,0.63,PG,1698263023
130,sitka,57.0531,-135.33,3.94,65,20,0.0,US,1698262921
131,mejit,10.2753,170.8646,27.84,77,78,4.89,MH,1698262836
132,bredasdorp,-34.5322,20.0403,14.41,86,100,1.61,ZA,1698262557
133,upington,-28.4478,21.2561,26.21,14,0,2.06,ZA,1698263024
134,greenville,35.6127,-77.3663,26.75,54,0,2.24,US,1698263025
135,coquimbo,-29.9533,-71.3436,15.85,77,75,4.63,CL,1698262827
136,kerikeri,-35.2268,173.9474,16.06,94,11,3.33,NZ,1698262923
137,kangding,30.0513,101.9603,8.79,97,100,1.3,CN,1698263026
138,punta arenas,-53.15,-70.9167,9.01,70,75,16.46,CL,1698262771
139,krotovka,53.2858,51.1686,-1.66,72,4,2.71,RU,1698263026
140,gwadar,25.1216,62.3254,26.25,78,41,3.36,PK,1698263027
141,newman,37.3138,-121.0208,21.8,24,16,1.27,US,1698262760
142,murzuq,25.9155,13.9184,26.51,21,100,2.63,LY,1698263027
143,qaqortoq,60.7167,-46.0333,0.72,80,100,2.87,GL,1698262708
144,toro,4.6117,-76.0814,28.38,79,73,1.93,CO,1698263027
145,mahina,-17.5065,-149.489,27.87,65,75,0.0,PF,1698262929
146,la'ie,21.6477,-157.9253,29.47,76,0,1.34,US,1698262852
147,yoloten,37.2989,62.3597,23.7,26,100,3.61,TM,1698263028
148,mokhsogollokh,61.4681,128.9203,-4.32,95,100,2.24,RU,1698263029
149,cabo san lucas,22.8909,-109.9124,29.17,52,20,2.06,MX,1698262733
150,kingscliff,-28.2667,153.5667,21.89,83,100,3.6,AU,1698263029
151,egilsstadir,65.2653,-14.3948,1.95,93,75,1.54,IS,1698262751
152,saint-pierre,-21.3393,55.4781,25.87,73,0,2.06,RE,1698262756
153,poteau,35.0537,-94.6236,27.86,54,40,4.63,US,1698263030
154,remire-montjoly,4.9167,-52.2667,32.02,62,0,5.66,GF,1698262850
155,ad dabbah,18.05,30.95,31.47,21,0,4.55,SD,1698262865
156,el bauga,18.262,33.9081,31.92,17,0,5.09,SD,1698263030
157,kani keli,-12.9536,45.1033,26.59,83,97,3.7,YT,1698263031
158,port shepstone,-30.7414,30.455,19.22,75,47,2.88,ZA,1698263031
159,kidal,18.4411,1.4078,29.39,12,28,4.78,ML,1698262868
160,san luis,-33.295,-66.3356,20.43,57,91,2.33,AR,1698263031
161,sidareja,-7.4846,108.7923,23.29,95,10,0.57,ID,1698263031
162,kolonia,50.9333,6.95,12.13,90,100,4.63,DE,1698262945
163,haiku-pauwela,20.9219,-156.3051,27.87,75,20,2.57,US,1698262826
164,protaras,35.0125,34.0583,23.33,78,24,0.98,CY,1698262960
165,susuman,62.7833,148.1667,-23.63,99,81,0.25,RU,1698262746
166,wailua homesteads,22.0669,-159.378,27.08,67,0,0.45,US,1698262717
167,inyonga,-6.7167,32.0667,19.52,90,100,3.06,TZ,1698263033
168,rikaze,29.25,88.8833,1.4,49,13,1.31,CN,1698263033
169,tangalle,6.024,80.7911,24.59,87,39,2.43,LK,1698263033
170,ust-nera,64.5667,143.2,-22.57,98,93,1.16,RU,1698262739
171,carnarvon,-24.8667,113.6333,19.84,81,0,7.42,AU,1698262763
172,boulsa,12.6675,-0.5758,32.7,24,95,2.4,BF,1698263034
173,amga,60.8953,131.9608,-6.76,97,100,0.27,RU,1698262933
174,scarborough,54.2797,-0.4044,11.06,93,100,0.45,GB,1698262801
175,as samawah,31.332,45.2944,22.89,54,2,2.12,IQ,1698263035
176,castillos,-34.1667,-53.8333,15.9,68,19,5.5,UY,1698262895
177,georgetown,5.4112,100.3354,26.96,92,20,1.54,MY,1698262479
178,bubaque,11.2833,-15.8333,28.58,75,100,3.52,GW,1698262875
179,mata-utu,-13.2816,-176.1745,27.13,75,100,9.88,WF,1698263036
180,brattleboro,42.8509,-72.5579,24.26,66,100,0.45,US,1698262827
181,akjoujt,19.6969,-14.4164,34.92,20,100,5.54,MR,1698263036
182,cuenca,-2.8833,-78.9833,26.07,29,75,2.57,EC,1698263036
183,turabah,21.2141,41.6331,25.29,35,81,4.48,SA,1698263036
184,blackmans bay,-43.0167,147.3167,4.85,85,100,0.45,AU,1698262708
185,vorkuta,67.5,64.0,-20.33,100,100,1.02,RU,1698263037
186,aykhal,66.0,111.5,-15.17,100,95,4.08,RU,1698262776
187,nchelenge,-9.3451,28.734,26.72,66,100,3.41,ZM,1698262615
188,christchurch,-43.5333,172.6333,22.45,52,59,2.57,NZ,1698263038
189,east wittering,50.7697,-0.8744,12.22,95,100,0.89,GB,1698263038
190,pagar alam,-4.0167,103.2667,21.2,95,97,0.42,ID,1698263020
191,nova sintra,14.8667,-24.7167,23.81,76,51,7.81,CV,1698262767
192,taldykorgan,45.0156,78.3739,12.34,43,87,2.6,KZ,1698263038
193,new martinsville,39.6445,-80.8576,24.95,38,92,2.68,US,1698263039
194,khovd,48.0056,91.6419,4.17,31,16,2.16,MN,1698263039
195,nyrob,60.733,56.7202,-4.53,92,100,2.23,RU,1698263039
196,zeya,53.75,127.2667,3.6,74,100,2.02,RU,1698263040
197,padina,45.1181,20.7272,18.62,56,100,2.96,RS,1698263040
198,ilulissat,69.2167,-51.1,-3.99,54,40,2.57,GL,1698262838
199,lebu,-37.6167,-73.65,12.75,68,0,10.57,CL,1698262772
200,saipan,15.1355,145.701,27.39,89,0,3.09,MP,1698262726
201,toliara,-23.35,43.6667,25.89,78,53,1.9,MG,1698262874
202,fort bragg,35.139,-79.006,26.57,52,0,2.06,US,1698262923
203,cole harbour,44.6724,-63.4751,15.66,83,75,9.26,CA,1698263041
204,ketchikan,55.3422,-131.6461,6.26,36,0,5.66,US,1698262854
205,qamdo,31.1667,97.2333,-2.5,52,73,1.55,CN,1698263042
206,ituiutaba,-18.9689,-49.465,28.05,58,100,1.86,BR,1698263042
207,uusikaupunki,60.8004,21.4084,-0.06,83,88,4.97,FI,1698263042
208,bucerias,20.75,-105.3333,31.1,67,0,4.17,MX,1698263042
209,alfredo v. bonfil,21.0833,-86.85,30.04,66,8,5.81,MX,1698263043
210,sfantu gheorghe,45.8667,25.7833,14.59,87,99,0.62,RO,1698263043
211,ocean city,39.2776,-74.5746,23.43,67,58,2.68,US,1698263043
212,kitimat,54.0524,-128.6534,4.39,53,9,1.79,CA,1698263043
213,tupiza,-21.45,-65.7167,26.18,8,22,7.98,BO,1698263044
214,kasaragod,12.5,75.0,23.95,91,78,1.46,IN,1698263044
215,mogadishu,2.0371,45.3438,27.2,82,18,5.01,SO,1698263044
216,hami,42.8,93.45,11.86,39,0,0.92,CN,1698263044
217,coahuayana de hidalgo,18.7,-103.6583,29.6,65,100,2.63,MX,1698263044
218,taroa,8.7058,171.2275,28.03,77,17,4.76,MH,1698263045
219,steinkjer,64.193,11.3851,0.52,94,100,1.72,NO,1698263045
220,san patricio,28.017,-97.5169,32.88,59,79,8.54,US,1698262836
221,heihe,50.2441,127.4902,3.58,51,46,6.62,CN,1698263045
222,port lincoln,-34.7333,135.8667,10.73,61,2,6.04,AU,1698262723
223,las palmas de gran canaria,28.0997,-15.4134,24.07,69,40,6.69,ES,1698263046
224,harstad,68.799,16.5293,2.01,92,100,7.6,NO,1698262786
225,margaret river,-33.95,115.0667,14.89,79,65,3.95,AU,1698262712
226,chibougamau,49.9168,-74.3659,7.79,100,100,2.06,CA,1698262771
227,taradale,-39.5333,176.85,20.01,63,96,0.89,NZ,1698263047
228,hawaiian paradise park,19.5933,-154.9731,28.91,76,40,2.57,US,1698262758
229,lompoc,34.6391,-120.4579,18.67,69,75,2.57,US,1698262900
230,fort mcmurray,56.7268,-111.381,-2.23,50,75,4.12,CA,1698263047
231,aguas belas,-9.1114,-37.1231,34.97,22,3,4.89,BR,1698263048
232,guthrie,35.8789,-97.4253,24.37,83,100,7.72,US,1698263048
233,t'q'ibuli,42.3512,42.9987,12.51,67,100,3.22,GE,1698263048
234,post,33.1909,-101.3782,25.65,42,47,4.76,US,1698263048
235,puerto baquerizo moreno,-0.9,-89.6,23.55,94,100,3.09,EC,1698262752
236,luderitz,-26.6481,15.1594,16.01,86,2,2.27,NA,1698262821
237,meadow lakes,61.6247,-149.6011,3.68,93,0,0.0,US,1698263049
238,ahus,55.9167,14.2833,7.78,97,100,5.66,SE,1698263049
239,labytnangi,66.6572,66.4183,-10.52,91,55,2.89,RU,1698263049
240,mossel bay,-34.1831,22.146,16.25,85,100,4.61,ZA,1698263049
241,benguela,-12.5763,13.4055,23.86,78,94,2.21,AO,1698263050
242,morehead city,34.7229,-76.726,25.0,68,0,4.12,US,1698262929
243,yamada,39.4667,141.95,12.62,85,67,2.66,JP,1698263050
244,anna regina,7.2644,-58.5077,29.31,73,100,4.47,GY,1698262870
245,camocim,-2.9022,-40.8411,27.36,71,15,8.02,BR,1698263050
246,buzet,45.4094,13.9667,16.65,93,73,2.58,HR,1698263051
247,tikapur,28.5,81.1333,19.24,71,0,1.7,NP,1698263051
248,at taj,24.2049,23.2857,23.02,30,0,3.99,LY,1698262924
249,mujiayingzi,42.1167,118.7833,5.17,36,0,0.63,CN,1698263051
250,beihai,21.4833,109.1,24.73,87,100,3.66,CN,1698263051
251,taloqan,36.7361,69.5345,18.72,29,100,2.74,AF,1698263052
252,champerico,14.3,-91.9167,34.3,78,60,4.59,GT,1698263052
253,puerto ayora,-0.7393,-90.3518,27.98,90,99,4.02,EC,1698262724
254,east london,-33.0153,27.9116,18.6,75,60,5.76,ZA,1698262916
255,novodvinsk,64.4165,40.8122,0.99,83,16,1.54,RU,1698263053
256,yeppoon,-23.1333,150.7333,19.88,88,5,1.64,AU,1698262777
257,vila do maio,15.1333,-23.2167,27.44,76,29,5.1,CV,1698263053
258,juticalpa,14.65,-86.2,35.08,65,99,2.4,HN,1698263053
259,chonchi,-42.6128,-73.8092,16.18,56,100,2.09,CL,1698262770
260,iron river,46.0927,-88.6423,11.42,84,100,1.78,US,1698263053
261,madinat ash shamal,26.1293,51.2009,29.27,63,0,5.89,QA,1698263054
262,tukrah,32.5341,20.5791,24.58,47,100,1.95,LY,1698263054
263,lupane,-18.9315,27.807,26.84,38,61,2.87,ZW,1698263054
264,lata,40.1629,-8.3327,19.49,96,100,3.29,PT,1698263054
265,vila velha,-20.3297,-40.2925,22.97,96,75,3.6,BR,1698262774
266,bredy,52.4153,60.3411,-1.64,79,99,4.36,RU,1698263055
267,suoyarvi,62.0833,32.35,-3.67,85,6,1.08,RU,1698263055
268,cabedelo,-6.9811,-34.8339,28.37,73,5,4.87,BR,1698263055
269,metlili chaamba,32.2667,3.6333,25.52,17,0,2.06,DZ,1698263055
270,vorgashor,67.5833,63.95,-18.82,100,100,1.06,RU,1698262732
271,tura,25.5198,90.2201,19.3,93,0,1.02,IN,1698262762
272,eregli,37.5133,34.0467,17.86,43,99,0.93,TR,1698263056
273,macapa,0.0389,-51.0664,33.99,49,40,4.12,BR,1698263056
274,halifax,44.6453,-63.5724,15.94,83,75,9.26,CA,1698263056
275,cooper's town,26.8667,-77.5167,25.68,64,26,11.27,BS,1698263057
276,saint-philippe,-21.3585,55.7679,23.77,81,4,5.67,RE,1698262941
277,eyl,7.9803,49.8164,27.32,78,67,5.45,SO,1698262820
278,balakhta,55.38,91.6,6.32,63,100,5.32,RU,1698263057
279,guiglo,6.5456,-7.4966,22.54,94,62,0.4,CI,1698263057
280,sofiyivka,48.0493,33.8746,13.26,83,100,7.17,UA,1698263058
281,holualoa,19.6228,-155.9522,28.26,68,20,4.12,US,1698263058
282,saudarkrokur,65.7461,-19.6394,1.97,79,99,0.27,IS,1698262913
283,arno,60.1167,18.6333,3.77,64,100,6.41,SE,1698262919
284,kaa-khem,51.6833,94.7333,2.45,41,100,1.22,RU,1698263059
285,hafar al-batin,28.4328,45.9708,21.32,68,75,6.69,SA,1698263059
286,semey,50.4111,80.2275,12.04,51,100,8.02,KZ,1698262932
